feature,importance
bid_volume_change_920_925,0.23500486073523932
volume_change_rate,0.18636509545720079
bid_price_change_920_925,0.13154693554445418
bid_volume_change,0.11914583027299289
sector_change,0.10453474237133863
bid_price_change,0.09471576928817138
buy_order_size_925,0.08490742158862721
up_down_ratio,0.04377934474197565
bid_volume_ratio,0.0
sector_money_flow,0.0
sector_rank,0.0
bid_intensity,0.0
buy_order_size_ratio,0.0
index_change,0.0
sector_limit_up_count,0.0
market_volume,0.0
profit_effect,0.0
circulating_market_cap,0.0
pe_ratio,0.0
pb_ratio,0.0
market_volume_ratio,0.0
earnings_announcement,0.0
turnover_rate,0.0
price_ma5_ratio,0.0
volatility_5d,0.0
price_ma10_ratio,0.0
macd_diff,0.0
rsi_14,0.0
volume_ratio,0.0
